board     channel       gain       offset
187        0          1.13362    47.19110  
187        1          1.10742    28.38649  
187        2          1.10232    16.18411  
187        3          1.14229    55.37919  
187        4          1.12187    45.14146  
187        5          1.14906    53.27977  
187        6          1.13681    48.73638  
187        7          1.13198    48.28907  
187        8          1.12898    45.59577  
187        9          1.11158    53.67916  
187        10         1.12176    22.26476  
187        11         1.10938    43.48284  
187        12         1.13552    56.70192  
187        13         1.11337    20.10985  
187        14         1.12910    48.13779  
187        15         1.13466    36.80310  
188        0          1.13147    50.11045  
188        1          1.11577    58.21192  
188        2          1.13515    46.13694  
188        3          1.13119    36.96862  
188        4          1.12618    9.40639   
188        5          1.13669    16.16644  
188        6          1.09409    52.48383  
188        7          1.09334    51.93345  
